Location,Country,Year,Number of accidents,Killed,Injured
Motorways,Albania,1993,0,0,0
Motorways,Albania,1994,0,0,0
Motorways,Albania,1995,0,0,0
Motorways,Albania,1996,0,0,0
Motorways,Albania,1997,0,0,0
Motorways,Albania,1998,0,0,0
Motorways,Albania,1999,0,,
Motorways,Albania,2000,0,,
Motorways,Albania,2001,0,,
Motorways,Albania,2002,0,,
Motorways,Albania,2003,0,,
Motorways,Albania,2004,,,
Motorways,Albania,2005,8,2,9
Motorways,Albania,2006,35,13,35
Motorways,Albania,2007,35,18,31
Motorways,Albania,2008,4,3,3
Motorways,Albania,2009,14,3,17
Motorways,Albania,2010,56,25,49
Motorways,Albania,2011,39,14,58
Motorways,Albania,2012,67,27,88
Motorways,Albania,2013,69,13,97
Motorways,Albania,2014,22,13,29
Motorways,Albania,2015,54,13,78
Motorways,Albania,2016,53,11,67
Motorways,Albania,2017,23,4,34
Motorways,Albania,2018,21,3,36
Motorways,Albania,2019,31,13,42
Motorways,Albania,2020,38,9,47
Motorways,Albania,2021,62,22,99
Motorways,Albania,2022,56,16,68
Motorways,Andorra,1993,,,
Motorways,Andorra,1994,,,
Motorways,Andorra,1995,,,
Motorways,Andorra,1996,0,0,0
Motorways,Andorra,1997,,,
Motorways,Andorra,1998,,,
Motorways,Andorra,1999,0,0,0
Motorways,Andorra,2000,0,0,0
Motorways,Andorra,2001,0,0,0
Motorways,Andorra,2002,0,0,0
Motorways,Andorra,2003,,,
Motorways,Andorra,2004,,,
Motorways,Andorra,2005,,,
Motorways,Andorra,2006,,,
Motorways,Andorra,2007,,,
Motorways,Andorra,2008,,,
Motorways,Andorra,2009,,,
Motorways,Andorra,2010,,,
Motorways,Andorra,2011,,,
Motorways,Andorra,2012,,,
Motorways,Andorra,2013,,,
Motorways,Andorra,2014,,,
Motorways,Andorra,2015,,,
Motorways,Andorra,2016,,,
Motorways,Andorra,2017,,,
Motorways,Andorra,2018,,,
Motorways,Andorra,2019,,,
Motorways,Andorra,2020,,,
Motorways,Andorra,2021,,,
Motorways,Andorra,2022,,,
Motorways,Armenia,1993,,,
Motorways,Armenia,1994,,,
Motorways,Armenia,1995,,,
Motorways,Armenia,1996,,,
Motorways,Armenia,1997,,,
Motorways,Armenia,1998,,,
Motorways,Armenia,1999,,,
Motorways,Armenia,2000,364,74,573
Motorways,Armenia,2001,401,130,594
Motorways,Armenia,2002,375,132,524
Motorways,Armenia,2003,410,146,557
Motorways,Armenia,2004,490,152,726
Motorways,Armenia,2005,577,185,908
Motorways,Armenia,2006,,,
Motorways,Armenia,2007,,,
Motorways,Armenia,2008,857,225,1495
Motorways,Armenia,2009,,,
Motorways,Armenia,2010,,,
Motorways,Armenia,2011,,,
Motorways,Armenia,2012,,,
Motorways,Armenia,2013,,,
Motorways,Armenia,2014,,,
Motorways,Armenia,2015,,,
Motorways,Armenia,2016,,,
Motorways,Armenia,2017,,,
Motorways,Armenia,2018,,,
Motorways,Armenia,2019,,,
Motorways,Armenia,2020,,,
Motorways,Armenia,2021,,,
Motorways,Armenia,2022,,,
Motorways,Austria,1993,2351,149,3645
Motorways,Austria,1994,2294,179,3552
Motorways,Austria,1995,2294,169,3606
Motorways,Austria,1996,2400,107,3763
Motorways,Austria,1997,2287,124,3630
Motorways,Austria,1998,2374,154,3657
Motorways,Austria,1999,2096,139,3328
Motorways,Austria,2000,2268,126,3695
Motorways,Austria,2001,2279,156,3603
Motorways,Austria,2002,2277,126,3754
Motorways,Austria,2003,2417,106,3823
Motorways,Austria,2004,2339,118,3561
Motorways,Austria,2005,2198,89,3491
Motorways,Austria,2006,2014,74,3234
Motorways,Austria,2007,1976,74,3036
Motorways,Austria,2008,1677,71,2756
Motorways,Austria,2009,1643,61,2666
Motorways,Austria,2010,1705,59,2623
Motorways,Austria,2011,1462,46,2258
Motorways,Austria,2012,1906,50,2782
Motorways,Austria,2013,1791,31,2660
Motorways,Austria,2014,1683,36,2597
Motorways,Austria,2015,1654,41,2577
Motorways,Austria,2016,1898,34,2955
Motorways,Austria,2017,1813,45,2768
Motorways,Austria,2018,2008,28,3084
Motorways,Austria,2019,2000,29,3069
Motorways,Austria,2020,1395,26,2037
Motorways,Austria,2021,1728,33,2670
Motorways,Austria,2022,,,
Motorways,Azerbaijan,1993,0,0,0
Motorways,Azerbaijan,1994,0,0,0
Motorways,Azerbaijan,1995,0,0,0
Motorways,Azerbaijan,1996,0,0,0
Motorways,Azerbaijan,1997,0,0,0
Motorways,Azerbaijan,1998,0,0,0
Motorways,Azerbaijan,1999,579,278,780
Motorways,Azerbaijan,2000,582,273,655
Motorways,Azerbaijan,2001,975,275,1198
Motorways,Azerbaijan,2002,741,286,962
Motorways,Azerbaijan,2003,837,380,1087
Motorways,Azerbaijan,2004,868,,
Motorways,Azerbaijan,2005,1035,518,1407
Motorways,Azerbaijan,2006,712,358,919
Motorways,Azerbaijan,2007,645,388,807
Motorways,Azerbaijan,2008,644,361,757
Motorways,Azerbaijan,2009,533,259,598
Motorways,Azerbaijan,2010,495,255,526
Motorways,Azerbaijan,2011,401,277,334
Motorways,Azerbaijan,2012,425,363,278
Motorways,Azerbaijan,2013,365,355,247
Motorways,Azerbaijan,2014,342,334,219
Motorways,Azerbaijan,2015,286,307,142
Motorways,Azerbaijan,2016,260,262,126
Motorways,Azerbaijan,2017,225,232,106
Motorways,Azerbaijan,2018,182,166,83
Motorways,Azerbaijan,2019,233,257,71
Motorways,Azerbaijan,2020,183,170,95
Motorways,Azerbaijan,2021,182,153,88
Motorways,Azerbaijan,2022,257,246,126
Motorways,Belarus,1993,0,0,0
Motorways,Belarus,1994,0,0,0
Motorways,Belarus,1995,0,0,0
Motorways,Belarus,1996,0,0,0
Motorways,Belarus,1997,0,0,0
Motorways,Belarus,1998,0,0,0
Motorways,Belarus,1999,0,0,0
Motorways,Belarus,2000,0,0,0
Motorways,Belarus,2001,0,0,0
Motorways,Belarus,2002,0,0,0
Motorways,Belarus,2003,0,0,0
Motorways,Belarus,2004,0,0,0
Motorways,Belarus,2005,,,
Motorways,Belarus,2006,,,
Motorways,Belarus,2007,,,
Motorways,Belarus,2008,,,
Motorways,Belarus,2009,,,
Motorways,Belarus,2010,,,
Motorways,Belarus,2011,,,
Motorways,Belarus,2012,,,
Motorways,Belarus,2013,,,
Motorways,Belarus,2014,,,
Motorways,Belarus,2015,,,
Motorways,Belarus,2016,,,
Motorways,Belarus,2017,,,
Motorways,Belarus,2018,,,
Motorways,Belarus,2019,,,
Motorways,Belarus,2020,,,
Motorways,Belarus,2021,,,
Motorways,Belarus,2022,,,
Motorways,Belgium,1993,,,
Motorways,Belgium,1994,3908,201,5951
Motorways,Belgium,1995,3809,209,6025
Motorways,Belgium,1996,3865,201,5842
Motorways,Belgium,1997,4451,192,6818
Motorways,Belgium,1998,4490,223,6725
Motorways,Belgium,1999,4571,209,6885
Motorways,Belgium,2000,4861,236,7316
Motorways,Belgium,2001,4697,192,7194
Motorways,Belgium,2002,3967,171,5909
Motorways,Belgium,2003,3660,140,5222
Motorways,Belgium,2004,3433,125,5017
Motorways,Belgium,2005,3685,161,5511
Motorways,Belgium,2006,3958,164,5697
Motorways,Belgium,2007,3845,153,5547
Motorways,Belgium,2008,3808,139,5570
Motorways,Belgium,2009,3921,150,5666
Motorways,Belgium,2010,4082,109,5871
Motorways,Belgium,2011,3887,130,5508
Motorways,Belgium,2012,3712,113,5401
Motorways,Belgium,2013,3757,128,5649
Motorways,Belgium,2014,3434,108,5208
Motorways,Belgium,2015,3471,110,5272
Motorways,Belgium,2016,3448,102,5225
Motorways,Belgium,2017,3399,98,5123
Motorways,Belgium,2018,3228,102,4943
Motorways,Belgium,2019,3205,116,4653
Motorways,Belgium,2020,2212,86,3097
Motorways,Belgium,2021,2775,81,3960
Motorways,Belgium,2022,,,
Motorways,Bosnia and Herzegovina,1993,0,0,0
Motorways,Bosnia and Herzegovina,1994,0,0,0
Motorways,Bosnia and Herzegovina,1995,0,0,0
Motorways,Bosnia and Herzegovina,1996,0,0,0
Motorways,Bosnia and Herzegovina,1997,0,0,0
Motorways,Bosnia and Herzegovina,1998,0,0,0
Motorways,Bosnia and Herzegovina,1999,0,0,0
Motorways,Bosnia and Herzegovina,2000,0,0,0
Motorways,Bosnia and Herzegovina,2001,,,
Motorways,Bosnia and Herzegovina,2002,,,
Motorways,Bosnia and Herzegovina,2003,,,
Motorways,Bosnia and Herzegovina,2004,,,
Motorways,Bosnia and Herzegovina,2005,,,
Motorways,Bosnia and Herzegovina,2006,,,
Motorways,Bosnia and Herzegovina,2007,,,
Motorways,Bosnia and Herzegovina,2008,,,
Motorways,Bosnia and Herzegovina,2009,,,
Motorways,Bosnia and Herzegovina,2010,,,
Motorways,Bosnia and Herzegovina,2011,,,
Motorways,Bosnia and Herzegovina,2012,,,
Motorways,Bosnia and Herzegovina,2013,,,
Motorways,Bosnia and Herzegovina,2014,,,
Motorways,Bosnia and Herzegovina,2015,,,
Motorways,Bosnia and Herzegovina,2016,,,
Motorways,Bosnia and Herzegovina,2017,,117,3241
Motorways,Bosnia and Herzegovina,2018,,,
Motorways,Bosnia and Herzegovina,2019,,,
Motorways,Bosnia and Herzegovina,2020,,,
Motorways,Bosnia and Herzegovina,2021,,,
Motorways,Bosnia and Herzegovina,2022,,,
Motorways,Bulgaria,1993,141,40,173
Motorways,Bulgaria,1994,65,30,74
Motorways,Bulgaria,1995,108,30,135
Motorways,Bulgaria,1996,68,39,81
Motorways,Bulgaria,1997,113,43,165
Motorways,Bulgaria,1998,89,38,121
Motorways,Bulgaria,1999,95,54,121
Motorways,Bulgaria,2000,80,26,89
Motorways,Bulgaria,2001,105,48,132
Motorways,Bulgaria,2002,97,38,122
Motorways,Bulgaria,2003,108,27,150
Motorways,Bulgaria,2004,99,45,129
Motorways,Bulgaria,2005,119,28,
Motorways,Bulgaria,2006,116,23,172
Motorways,Bulgaria,2007,142,36,
Motorways,Bulgaria,2008,150,38,212
Motorways,Bulgaria,2009,114,36,143
Motorways,Bulgaria,2010,131,37,168
Motorways,Bulgaria,2011,141,36,240
Motorways,Bulgaria,2012,126,20,195
Motorways,Bulgaria,2013,163,20,244
Motorways,Bulgaria,2014,198,39,283
Motorways,Bulgaria,2015,193,60,290
Motorways,Bulgaria,2016,256,42,371
Motorways,Bulgaria,2017,301,62,424
Motorways,Bulgaria,2018,268,58,445
Motorways,Bulgaria,2019,274,45,434
Motorways,Bulgaria,2020,207,35,307
Motorways,Bulgaria,2021,209,75,303
Motorways,Bulgaria,2022,,,
Motorways,Canada,1993,11233,470,17492
Motorways,Canada,1994,,,
Motorways,Canada,1995,,,
Motorways,Canada,1996,,,
Motorways,Canada,1997,,,
Motorways,Canada,1998,,,
Motorways,Canada,1999,,,
Motorways,Canada,2000,10233,374,15365
Motorways,Canada,2001,10239,344,15291
Motorways,Canada,2002,10854,387,16226
Motorways,Canada,2003,11079,365,16202
Motorways,Canada,2004,11693,390,17108
Motorways,Canada,2005,11718,406,17097
Motorways,Canada,2006,11244,401,16449
Motorways,Canada,2007,11643,372,16825
Motorways,Canada,2008,10933,321,15541
Motorways,Canada,2009,10401,312,14812
Motorways,Canada,2010,10074,343,14589
Motorways,Canada,2011,10675,335,15256
Motorways,Canada,2012,10078,350,14482
Motorways,Canada,2013,10775,283,15547
Motorways,Canada,2014,10332,285,14877
Motorways,Canada,2015,10720,298,15303
Motorways,Canada,2016,10666,276,14969
Motorways,Canada,2017,10591,295,14957
Motorways,Canada,2018,10219,305,14492
Motorways,Canada,2019,9739,265,13755
Motorways,Canada,2020,7110,252,9501
Motorways,Canada,2021,,,
Motorways,Canada,2022,,,
Motorways,Croatia,1993,40,4,51
Motorways,Croatia,1994,47,6,90
Motorways,Croatia,1995,34,5,85
Motorways,Croatia,1996,36,7,59
Motorways,Croatia,1997,121,19,157
Motorways,Croatia,1998,88,14,183
Motorways,Croatia,1999,,,
Motorways,Croatia,2000,,,
Motorways,Croatia,2001,,,
Motorways,Croatia,2002,,,
Motorways,Croatia,2003,,,
Motorways,Croatia,2004,,,
Motorways,Croatia,2005,396,37,716
Motorways,Croatia,2006,480,57,875
Motorways,Croatia,2007,438,65,811
Motorways,Croatia,2008,382,67,687
Motorways,Croatia,2009,400,43,654
Motorways,Croatia,2010,328,33,616
Motorways,Croatia,2011,308,23,584
Motorways,Croatia,2012,312,42,605
Motorways,Croatia,2013,266,38,495
Motorways,Croatia,2014,226,22,358
Motorways,Croatia,2015,281,16,537
Motorways,Croatia,2016,371,34,627
Motorways,Croatia,2017,304,22,514
Motorways,Croatia,2018,387,28,671
Motorways,Croatia,2019,151,18,254
Motorways,Croatia,2020,238,19,372
Motorways,Croatia,2021,369,36,680
Motorways,Croatia,2022,,,
Motorways,Cyprus,1993,,0,0
Motorways,Cyprus,1994,,0,0
Motorways,Cyprus,1995,,0,0
Motorways,Cyprus,1996,,0,0
Motorways,Cyprus,1997,,0,0
Motorways,Cyprus,1998,,0,0
Motorways,Cyprus,1999,,,
Motorways,Cyprus,2000,,,
Motorways,Cyprus,2001,,,
Motorways,Cyprus,2002,,,
Motorways,Cyprus,2003,,,
Motorways,Cyprus,2004,,,
Motorways,Cyprus,2005,,13,164
Motorways,Cyprus,2006,,9,170
Motorways,Cyprus,2007,,13,134
Motorways,Cyprus,2008,,7,108
Motorways,Cyprus,2009,,7,104
Motorways,Cyprus,2010,72,8,146
Motorways,Cyprus,2011,53,7,112
Motorways,Cyprus,2012,40,3,74
Motorways,Cyprus,2013,25,2,41
Motorways,Cyprus,2014,38,3,67
Motorways,Cyprus,2015,25,6,52
Motorways,Cyprus,2016,26,1,42
Motorways,Cyprus,2017,17,5,19
Motorways,Cyprus,2018,,,
Motorways,Cyprus,2019,,,
Motorways,Cyprus,2020,,,
Motorways,Cyprus,2021,,,
Motorways,Cyprus,2022,,,
Motorways,Czechia,1993,282,48,419
Motorways,Czechia,1994,317,46,485
Motorways,Czechia,1995,343,35,490
Motorways,Czechia,1996,335,45,538
Motorways,Czechia,1997,369,35,589
Motorways,Czechia,1998,413,45,658
Motorways,Czechia,1999,431,44,625
Motorways,Czechia,2000,396,45,563
Motorways,Czechia,2001,415,43,589
Motorways,Czechia,2002,442,53,643
Motorways,Czechia,2003,444,48,664
Motorways,Czechia,2004,455,58,689
Motorways,Czechia,2005,450,45,688
Motorways,Czechia,2006,448,37,613
Motorways,Czechia,2007,481,48,664
Motorways,Czechia,2008,447,30,646
Motorways,Czechia,2009,412,25,565
Motorways,Czechia,2010,432,28,587
Motorways,Czechia,2011,404,21,594
Motorways,Czechia,2012,361,22,530
Motorways,Czechia,2013,363,25,509
Motorways,Czechia,2014,392,23,567
Motorways,Czechia,2015,407,31,607
Motorways,Czechia,2016,606,40,884
Motorways,Czechia,2017,620,25,912
Motorways,Czechia,2018,586,35,878
Motorways,Czechia,2019,632,31,871
Motorways,Czechia,2020,470,32,644
Motorways,Czechia,2021,483,22,674
Motorways,Czechia,2022,,,
Motorways,Denmark,1993,207,22,287
Motorways,Denmark,1994,245,32,334
Motorways,Denmark,1995,230,31,328
Motorways,Denmark,1996,265,30,345
Motorways,Denmark,1997,245,32,336
Motorways,Denmark,1998,250,29,387
Motorways,Denmark,1999,284,40,411
Motorways,Denmark,2000,288,29,424
Motorways,Denmark,2001,290,38,444
Motorways,Denmark,2002,344,48,531
Motorways,Denmark,2003,309,31,474
Motorways,Denmark,2004,265,27,363
Motorways,Denmark,2005,244,31,325
Motorways,Denmark,2006,235,16,332
Motorways,Denmark,2007,252,24,373
Motorways,Denmark,2008,211,31,273
Motorways,Denmark,2009,233,24,329
Motorways,Denmark,2010,192,26,268
Motorways,Denmark,2011,159,12,212
Motorways,Denmark,2012,121,8,180
Motorways,Denmark,2013,123,12,163
Motorways,Denmark,2014,125,14,160
Motorways,Denmark,2015,153,16,205
Motorways,Denmark,2016,162,25,218
Motorways,Denmark,2017,132,12,161
Motorways,Denmark,2018,171,21,213
Motorways,Denmark,2019,160,14,206
Motorways,Denmark,2020,119,14,134
Motorways,Denmark,2021,111,11,132
Motorways,Denmark,2022,,,
Motorways,Estonia,1993,683,209,824
Motorways,Estonia,1994,0,0,0
Motorways,Estonia,1995,0,0,0
Motorways,Estonia,1996,0,0,0
Motorways,Estonia,1997,0,0,0
Motorways,Estonia,1998,0,0,0
Motorways,Estonia,1999,0,0,0
Motorways,Estonia,2000,0,0,0
Motorways,Estonia,2001,0,0,0
Motorways,Estonia,2002,0,0,0
Motorways,Estonia,2003,0,0,0
Motorways,Estonia,2004,,0,0
Motorways,Estonia,2005,0,0,0
Motorways,Estonia,2006,0,0,0
Motorways,Estonia,2007,0,0,0
Motorways,Estonia,2008,,0,0
Motorways,Estonia,2009,,,
Motorways,Estonia,2010,,0,
Motorways,Estonia,2011,,0,
Motorways,Estonia,2012,0,0,
Motorways,Estonia,2013,0,0,
Motorways,Estonia,2014,,,
Motorways,Estonia,2015,,,
Motorways,Estonia,2016,,,
Motorways,Estonia,2017,,,
Motorways,Estonia,2018,,,
Motorways,Estonia,2019,,,
Motorways,Estonia,2020,,,
Motorways,Estonia,2021,,,
Motorways,Estonia,2022,,,
Motorways,Finland,1993,80,5,103
Motorways,Finland,1994,91,8,137
Motorways,Finland,1995,130,14,185
Motorways,Finland,1996,89,7,120
Motorways,Finland,1997,148,13,216
Motorways,Finland,1998,185,19,260
Motorways,Finland,1999,115,9,168
Motorways,Finland,2000,133,13,176
Motorways,Finland,2001,141,11,199
Motorways,Finland,2002,149,16,204
Motorways,Finland,2003,160,7,241
Motorways,Finland,2004,164,17,235
Motorways,Finland,2005,125,10,224
Motorways,Finland,2006,176,17,216
Motorways,Finland,2007,216,14,294
Motorways,Finland,2008,169,9,232
Motorways,Finland,2009,187,12,234
Motorways,Finland,2010,165,4,222
Motorways,Finland,2011,168,11,223
Motorways,Finland,2012,192,13,261
Motorways,Finland,2013,158,8,219
Motorways,Finland,2014,150,8,209
Motorways,Finland,2015,144,6,188
Motorways,Finland,2016,153,7,216
Motorways,Finland,2017,154,8,204
Motorways,Finland,2018,162,5,203
Motorways,Finland,2019,154,6,214
Motorways,Finland,2020,154,9,194
Motorways,Finland,2021,126,8,170
Motorways,Finland,2022,,,
Motorways,France,1993,,,0
Motorways,France,1994,5393,477,8592
Motorways,France,1995,5897,488,9125
Motorways,France,1996,5832,465,8613
Motorways,France,1997,6245,495,9482
Motorways,France,1998,6534,497,10075
Motorways,France,1999,6470,476,9535
Motorways,France,2000,6477,519,9468
Motorways,France,2001,6829,487,9918
Motorways,France,2002,6606,521,9453
Motorways,France,2003,5435,439,7646
Motorways,France,2004,4613,312,6578
Motorways,France,2005,5156,323,7198
Motorways,France,2006,5089,292,7146
Motorways,France,2007,5322,273,7392
Motorways,France,2008,4220,233,5989
Motorways,France,2009,3904,225,5499
Motorways,France,2010,4291,238,5926
Motorways,France,2011,4114,268,5619
Motorways,France,2012,4007,222,5584
Motorways,France,2013,4088,238,5729
Motorways,France,2014,4381,220,6111
Motorways,France,2015,5200,297,7199
Motorways,France,2016,5691,267,7979
Motorways,France,2017,5603,281,7866
Motorways,France,2018,5506,268,7782
Motorways,France,2019,5593,260,7949
Motorways,France,2020,4220,196,5868
Motorways,France,2021,5185,243,7292
Motorways,France,2022,,,
Motorways,Georgia,1993,0,0,0
Motorways,Georgia,1994,0,0,0
Motorways,Georgia,1995,0,0,0
Motorways,Georgia,1996,0,0,0
Motorways,Georgia,1997,0,0,0
Motorways,Georgia,1998,0,0,0
Motorways,Georgia,1999,0,0,0
Motorways,Georgia,2000,,0,0
Motorways,Georgia,2001,,0,0
Motorways,Georgia,2002,334,169,445
Motorways,Georgia,2003,391,191,453
Motorways,Georgia,2004,,,
Motorways,Georgia,2005,943,223,1595
Motorways,Georgia,2006,,,
Motorways,Georgia,2007,,,
Motorways,Georgia,2008,1261,336,2274
Motorways,Georgia,2009,1198,303,2242
Motorways,Georgia,2010,1061,230,1975
Motorways,Georgia,2011,873,172,1636
Motorways,Georgia,2012,988,211,1703
Motorways,Georgia,2013,1132,179,1987
Motorways,Georgia,2014,1151,188,2037
Motorways,Georgia,2015,1139,192,2100
Motorways,Georgia,2016,1258,206,2285
Motorways,Georgia,2017,867,135,1604
Motorways,Georgia,2018,812,117,1589
Motorways,Georgia,2019,1022,154,1889
Motorways,Georgia,2020,877,129,1518
Motorways,Georgia,2021,970,151,1621
Motorways,Georgia,2022,1084,146,1913
Motorways,Germany,1993,,,
Motorways,Germany,1994,26549,1105,42142
Motorways,Germany,1995,25513,978,41010
Motorways,Germany,1996,24976,1020,39796
Motorways,Germany,1997,24794,933,39332
Motorways,Germany,1998,24485,803,38619
Motorways,Germany,1999,26627,911,41910
Motorways,Germany,2000,25578,907,40197
Motorways,Germany,2001,25990,770,41069
Motorways,Germany,2002,24625,857,38625
Motorways,Germany,2003,22646,811,35250
Motorways,Germany,2004,21457,694,33011
Motorways,Germany,2005,20943,662,32367
Motorways,Germany,2006,20434,645,31437
Motorways,Germany,2007,20466,602,31340
Motorways,Germany,2008,18269,495,28280
Motorways,Germany,2009,18394,475,28398
Motorways,Germany,2010,18829,430,28873
Motorways,Germany,2011,18290,453,28681
Motorways,Germany,2012,17847,387,27948
Motorways,Germany,2013,18452,428,29202
Motorways,Germany,2014,18901,375,30770
Motorways,Germany,2015,20113,414,32374
Motorways,Germany,2016,21193,393,33945
Motorways,Germany,2017,20928,409,33692
Motorways,Germany,2018,20537,424,32913
Motorways,Germany,2019,19980,356,31916
Motorways,Germany,2020,15237,317,23299
Motorways,Germany,2021,16407,318,25417
Motorways,Germany,2022,,,
Motorways,Greece,1993,0,0,0
Motorways,Greece,1994,,,
Motorways,Greece,1995,,,
Motorways,Greece,1996,,,
Motorways,Greece,1997,,,
Motorways,Greece,1998,,,
Motorways,Greece,1999,366,105,590
Motorways,Greece,2000,279,61,465
Motorways,Greece,2001,327,86,491
Motorways,Greece,2002,227,69,344
Motorways,Greece,2003,231,58,327
Motorways,Greece,2004,456,116,641
Motorways,Greece,2005,614,111,913
Motorways,Greece,2006,607,147,838
Motorways,Greece,2007,611,140,806
Motorways,Greece,2008,630,120,812
Motorways,Greece,2009,680,108,931
Motorways,Greece,2010,548,87,775
Motorways,Greece,2011,564,81,756
Motorways,Greece,2012,439,57,627
Motorways,Greece,2013,466,79,695
Motorways,Greece,2014,282,56,466
Motorways,Greece,2015,303,53,438
Motorways,Greece,2016,284,45,414
Motorways,Greece,2017,313,54,419
Motorways,Greece,2018,354,61,480
Motorways,Greece,2019,279,50,416
Motorways,Greece,2020,210,34,267
Motorways,Greece,2021,281,38,394
Motorways,Greece,2022,,,
Motorways,Hungary,1993,,,
Motorways,Hungary,1994,313,,
Motorways,Hungary,1995,327,45,534
Motorways,Hungary,1996,306,48,497
Motorways,Hungary,1997,288,44,482
Motorways,Hungary,1998,338,43,565
Motorways,Hungary,1999,323,45,549
Motorways,Hungary,2000,275,49,445
Motorways,Hungary,2001,280,35,427
Motorways,Hungary,2002,356,53,585
Motorways,Hungary,2003,376,58,606
Motorways,Hungary,2004,421,60,790
Motorways,Hungary,2005,404,47,654
Motorways,Hungary,2006,447,55,784
Motorways,Hungary,2007,509,61,821
Motorways,Hungary,2008,430,54,679
Motorways,Hungary,2009,422,38,660
Motorways,Hungary,2010,449,44,736
Motorways,Hungary,2011,381,49,630
Motorways,Hungary,2012,335,31,579
Motorways,Hungary,2013,421,30,819
Motorways,Hungary,2014,365,27,658
Motorways,Hungary,2015,471,34,841
Motorways,Hungary,2016,502,37,936
Motorways,Hungary,2017,477,34,891
Motorways,Hungary,2018,473,46,819
Motorways,Hungary,2019,514,48,879
Motorways,Hungary,2020,374,35,656
Motorways,Hungary,2021,469,58,821
Motorways,Hungary,2022,,,
Motorways,Iceland,1993,0,0,0
Motorways,Iceland,1994,0,0,0
Motorways,Iceland,1995,0,0,0
Motorways,Iceland,1996,0,0,0
Motorways,Iceland,1997,0,0,0
Motorways,Iceland,1998,0,0,0
Motorways,Iceland,1999,0,0,0
Motorways,Iceland,2000,0,0,0
Motorways,Iceland,2001,0,0,0
Motorways,Iceland,2002,0,0,0
Motorways,Iceland,2003,0,0,0
Motorways,Iceland,2004,0,0,0
Motorways,Iceland,2005,,0,0
Motorways,Iceland,2006,,,
Motorways,Iceland,2007,,,
Motorways,Iceland,2008,,0,
Motorways,Iceland,2009,,,
Motorways,Iceland,2010,,,
Motorways,Iceland,2011,,,
Motorways,Iceland,2012,,,
Motorways,Iceland,2013,,,
Motorways,Iceland,2014,,,
Motorways,Iceland,2015,,,
Motorways,Iceland,2016,,,
Motorways,Iceland,2017,,,
Motorways,Iceland,2018,,,
Motorways,Iceland,2019,,,
Motorways,Iceland,2020,,,
Motorways,Iceland,2021,,,
Motorways,Iceland,2022,,,
Motorways,Ireland,1993,0,0,0
Motorways,Ireland,1994,6,0,12
Motorways,Ireland,1995,19,5,29
Motorways,Ireland,1996,26,,
Motorways,Ireland,1997,33,9,115
Motorways,Ireland,1998,0,0,0
Motorways,Ireland,1999,38,1,62
Motorways,Ireland,2000,50,4,71
Motorways,Ireland,2001,37,4,50
Motorways,Ireland,2002,39,5,48
Motorways,Ireland,2003,48,8,63
Motorways,Ireland,2004,40,6,76
Motorways,Ireland,2005,,2,127
Motorways,Ireland,2006,,11,104
Motorways,Ireland,2007,69,10,120
Motorways,Ireland,2008,93,2,127
Motorways,Ireland,2009,,4,184
Motorways,Ireland,2010,153,8,220
Motorways,Ireland,2011,143,9,205
Motorways,Ireland,2012,181,5,286
Motorways,Ireland,2013,148,8,212
Motorways,Ireland,2014,176,5,255
Motorways,Ireland,2015,171,7,250
Motorways,Ireland,2016,,,
Motorways,Ireland,2017,,,
Motorways,Ireland,2018,,,
Motorways,Ireland,2019,,,
Motorways,Ireland,2020,,,
Motorways,Ireland,2021,,,
Motorways,Ireland,2022,,,
Motorways,Israel,1993,,,
Motorways,Israel,1994,,,
Motorways,Israel,1995,0,0,0
Motorways,Israel,1996,0,0,0
Motorways,Israel,1997,0,0,0
Motorways,Israel,1998,0,0,0
Motorways,Israel,1999,,,
Motorways,Israel,2000,,,
Motorways,Israel,2001,,,
Motorways,Israel,2002,,,
Motorways,Israel,2003,,,
Motorways,Israel,2004,,,
Motorways,Israel,2005,,,
Motorways,Israel,2006,,,
Motorways,Israel,2007,,,
Motorways,Israel,2008,,,
Motorways,Israel,2009,,,
Motorways,Israel,2010,,,
Motorways,Israel,2011,,,
Motorways,Israel,2012,,,
Motorways,Israel,2013,,,
Motorways,Israel,2014,,,
Motorways,Israel,2015,,,
Motorways,Israel,2016,,,
Motorways,Israel,2017,,,
Motorways,Israel,2018,,,
Motorways,Israel,2019,,,
Motorways,Israel,2020,,,
Motorways,Israel,2021,,,
Motorways,Israel,2022,,,
Motorways,Italy,1993,8550,701,14786
Motorways,Italy,1994,9473,640,16126
Motorways,Italy,1995,10860,725,19116
Motorways,Italy,1996,11546,698,20305
Motorways,Italy,1997,11381,787,20024
Motorways,Italy,1998,13836,660,24356
Motorways,Italy,1999,14349,804,25207
Motorways,Italy,2000,13788,764,23154
Motorways,Italy,2001,15306,773,26774
Motorways,Italy,2002,16359,801,27827
Motorways,Italy,2003,14842,711,25237
Motorways,Italy,2004,14002,648,23908
Motorways,Italy,2005,14010,577,23862
Motorways,Italy,2006,13319,590,22646
Motorways,Italy,2007,13635,526,23135
Motorways,Italy,2008,12372,452,20631
Motorways,Italy,2009,12200,350,20538
Motorways,Italy,2010,12079,376,20667
Motorways,Italy,2011,11007,338,18515
Motorways,Italy,2012,9404,330,15866
Motorways,Italy,2013,9265,321,15447
Motorways,Italy,2014,9148,287,15290
Motorways,Italy,2015,9179,305,15850
Motorways,Italy,2016,9360,274,15790
Motorways,Italy,2017,9395,296,15844
